id_progetto;missione;livello_territoriale;localizzazione;provincia;comune;geo_map_lat;geo_map_long;cup;importo_progetto;finanziato_pnrr;finanziato_pnc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H97H22001160001;;1. comunale;Comune di CASOLA IN LUNIGIANA (MS);MASSA-CARRARA;Casola in Lunigiana;44.200.951.643.255;10.176.350.277.235;H97H22001160001;175000;NULL;175000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B27H22000930001;;1. comunale;Comune di FIRENZUOLA (FI);FIRENZE;Firenzuola;44.118.337.092.744;11.378.049.926.948;B27H22000930001;105800;NULL;92000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B57H22001090001;;1. comunale;Comune di SAN GODENZO (FI);FIRENZE;San Godenzo;43.926.008.606.750;11.618.336.398.108;B57H22001090001;672525;NULL;585225;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B57H22001100001;;1. comunale;Comune di SAN GODENZO (FI);FIRENZE;San Godenzo;43.926.008.606.750;11.618.336.398.108;B57H22001100001;92165;NULL;80165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B57H22001110001;;1. comunale;Comune di SAN GODENZO (FI);FIRENZE;San Godenzo;43.926.008.606.750;11.618.336.398.108;B57H22001110001;38640;NULL;33600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B57H22001130001;;1. comunale;Comune di SAN GODENZO (FI);FIRENZE;San Godenzo;43.926.008.606.750;11.618.336.398.108;B57H22001130001;61675;NULL;53590;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B57H22001140001;;1. comunale;Comune di VERNIO (PO);PRATO;Vernio;44.053.585.543.361;11.155.993.913.452;B57H22001140001;500000;NULL;500000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B57H22001150001;;1. comunale;Comune di VERNIO (PO);PRATO;Vernio;44.053.585.543.361;11.155.993.913.452;B57H22001150001;150000;NULL;150000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B57H22001160001;;1. comunale;Comune di VERNIO (PO);PRATO;Vernio;44.053.585.543.361;11.155.993.913.452;B57H22001160001;345000;NULL;300000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B17H22000760001;;1. comunale;Comune di MARRADI (FI);FIRENZE;Marradi;44.075.622.194.784;11.612.740.215.298;B17H22000760001;460000;NULL;400000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B17H22000770001;;1. comunale;Comune di MARRADI (FI);FIRENZE;Marradi;44.075.622.194.784;11.612.740.215.298;B17H22000770001;455800;NULL;396400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B17H22000780001;;1. comunale;Comune di MARRADI (FI);FIRENZE;Marradi;44.075.622.194.784;11.612.740.215.298;B17H22000780001;57427;NULL;49942;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B17H22000790001;;1. comunale;Comune di MARRADI (FI);FIRENZE;Marradi;44.075.622.194.784;11.612.740.215.298;B17H22000790001;90000;NULL;90000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B67H22001730001;;1. comunale;Comune di PALAZZUOLO SUL SENIO (FI);FIRENZE;Palazzuolo sul Senio;44.112.478.515.578;11.547.413.221.409;B67H22001730001;27000;NULL;27000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B27H21009570001;;1. comunale;Comune di FIRENZUOLA (FI);FIRENZE;Firenzuola;44.118.337.092.744;11.378.049.926.948;B27H21009570001;172500;NULL;150000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B27H21009580001;;1. comunale;Comune di FIRENZUOLA (FI);FIRENZE;Firenzuola;44.118.337.092.744;11.378.049.926.948;B27H21009580001;115000;NULL;100000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B27H22000890001;;1. comunale;Comune di FIRENZUOLA (FI);FIRENZE;Firenzuola;44.118.337.092.744;11.378.049.926.948;B27H22000890001;85790;NULL;74600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B27H22000900001;;1. comunale;Comune di FIRENZUOLA (FI);FIRENZE;Firenzuola;44.118.337.092.744;11.378.049.926.948;B27H22000900001;380000;NULL;380000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B67H22001710001;;1. comunale;Comune di PALAZZUOLO SUL SENIO (FI);FIRENZE;Palazzuolo sul Senio;44.112.478.515.578;11.547.413.221.409;B67H22001710001;546250;NULL;475000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B67H22001720001;;1. comunale;Comune di PALAZZUOLO SUL SENIO (FI);FIRENZE;Palazzuolo sul Senio;44.112.478.515.578;11.547.413.221.409;B67H22001720001;287500;NULL;250000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I27H22001220001;;1. comunale;Comune di PIEVE SANTO STEFANO (AR);AREZZO;Pieve Santo Stefano;43.668.842.639.750;12.041.746.526.937;I27H22001220001;240000;NULL;240000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I27H22001230001;;1. comunale;Comune di PIEVE SANTO STEFANO (AR);AREZZO;Pieve Santo Stefano;43.668.935.759.165;12.041.789.441.432;I27H22001230001;200000;NULL;200000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I47H22000990001;;1. comunale;Comune di PRATOVECCHIO STIA (AR);AREZZO;Pratovecchio Stia;43.799.811.444.210;11.707.799.291.810;I47H22000990001;425000;NULL;425000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I57H22001230001;;1. comunale;Comune di CHIUSI DELLA VERNA (AR);AREZZO;Chiusi della Verna;43.699.999.135.719;11.934.532.699.949;I57H22001230001;300000;NULL;300000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I57H22001240001;;1. comunale;Comune di CHIUSI DELLA VERNA (AR);AREZZO;Chiusi della Verna;43.697.213.837.541;11.935.748.887.933;I57H22001240001;214000;NULL;214000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I67H22001200001;;1. comunale;Comune di CAPRESE MICHELANGELO (AR);AREZZO;Caprese Michelangelo;43.641.976.907.323;11.986.450.153.925;I67H22001200001;160000;NULL;160000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I67H22001210001;;1. comunale;Comune di CAPRESE MICHELANGELO (AR);AREZZO;Caprese Michelangelo;43.641.976.907.323;11.986.450.153.925;I67H22001210001;36000;NULL;36000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I77H22000860001;;1. comunale;Comune di SESTINO (AR);AREZZO;Sestino;43.708.438.112.165;12.297.204.155.773;I77H22000860001;130000;NULL;130000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I77H22000870001;;1. comunale;Comune di CASTEL FOCOGNANO (AR);AREZZO;Castel Focognano;43.651.717.842.176;11.835.700.725.020;I77H22000870001;195000;NULL;195000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I77H22000880001;;1. comunale;Comune di SESTINO (AR);AREZZO;Sestino;43.708.438.112.165;12.297.204.155.773;I77H22000880001;170000;NULL;170000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I97H22001270001;;1. comunale;Comune di CASTEL SAN NICCOLO' (AR);AREZZO;Castel San NiccolO';43.742.007.388.428;11.705.436.799.950;I97H22001270001;105000;NULL;105000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I27H22001210001;;1. comunale;Comune di PIEVE SANTO STEFANO (AR);AREZZO;Pieve Santo Stefano;43.462.632.400.000;12.122.909.000.000;I27H22001210001;100000;NULL;100000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I47H22000970001;;1. comunale;Comune di PRATOVECCHIO STIA (AR);AREZZO;Pratovecchio Stia;43.799.811.444.210;11.707.799.291.810;I47H22000970001;400000;NULL;400000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I57H22001190001;;1. comunale;Comune di CHIUSI DELLA VERNA (AR);AREZZO;Chiusi della Verna;43.699.999.135.719;11.934.532.699.949;I57H22001190001;150000;NULL;150000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I67H22001190001;;1. comunale;Comune di CAPRESE MICHELANGELO (AR);AREZZO;Caprese Michelangelo;43.641.976.907.323;11.986.450.153.925;I67H22001190001;75000;NULL;75000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I97H22001250001;;1. comunale;Comune di CASTEL SAN NICCOLO' (AR);AREZZO;Castel San NiccolO';43.742.123.647.684;11.705.447.527.941;I97H22001250001;435000;NULL;435000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I27H22001200001;;1. comunale;Comune di PIEVE SANTO STEFANO (AR);AREZZO;Pieve Santo Stefano;43.668.842.639.750;12.041.746.526.937;I27H22001200001;100000;NULL;100000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I47H22000950001;;1. comunale;Comune di MONTEMIGNAIO (AR);AREZZO;Montemignaio;43.743.137.734.198;11.625.902.811.598;I47H22000950001;100000;NULL;100000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I47H22000960001;;1. comunale;Comune di PRATOVECCHIO STIA (AR);AREZZO;Pratovecchio Stia;43.791.032.210.283;11.719.126.171.116;I47H22000960001;100000;NULL;100000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I57H22001170001;;1. comunale;Comune di CHIUSI DELLA VERNA (AR);AREZZO;Chiusi della Verna;43.699.999.135.719;11.934.532.699.949;I57H22001170001;150000;NULL;150000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I67H22001180001;;1. comunale;Comune di CAPRESE MICHELANGELO (AR);AREZZO;Caprese Michelangelo;43.641.976.907.323;11.986.450.153.925;I67H22001180001;100000;NULL;100000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I77H22000840001;;1. comunale;Comune di SESTINO (AR);AREZZO;Sestino;43.708.438.112.165;12.297.204.155.773;I77H22000840001;175000;NULL;175000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I65F22000490003;;1. comunale;Comune di SIENA (SI);SIENA;Siena;43.344.206.600.000;11.326.894.600.000;I65F22000490003;23185262;NULL;17807346;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I65F22000500003;;1. comunale;Comune di SIENA (SI);SIENA;Siena;43.344.206.600.000;11.326.894.600.000;I65F22000500003;17908140;NULL;12010400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C16G21013900001;;1. comunale;Comune di AREZZO (AR);AREZZO;Arezzo;43.461.487.300.000;11.867.141.368.244;C16G21013900001;9718885;NULL;8614885;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D55F22000650006;;1. comunale;Comune di PISA (PI);PISA;Pisa;43.708.628.200.000;10.439.564.800.000;D55F22000650006;3468963;NULL;3468963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D55F22000660006;;1. comunale;Comune di PISA (PI);PISA;Pisa;43.708.628.200.000;10.439.564.800.000;D55F22000660006;3380162;NULL;3380162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D55F22000670006;;1. comunale;Comune di PISA (PI);PISA;Pisa;43.708.628.200.000;10.439.564.800.000;D55F22000670006;2659059;NULL;2659059;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D55F22000680001;;1. comunale;Comune di PISA (PI);PISA;Pisa;43.708.628.200.000;10.439.564.800.000;D55F22000680001;166504;NULL;166504;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D55F22000690001;;1. comunale;Comune di PISA (PI);PISA;Pisa;43.708.628.200.000;10.439.564.800.000;D55F22000690001;1371060;NULL;601060;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D55F22000730001;;1. comunale;Comune di PISA (PI);PISA;Pisa;43.709.929.868.504;10.442.552.612.633;D55F22000730001;16224633;NULL;16224633;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D55F22000750001;;1. comunale;Comune di PISA (PI);PISA;Pisa;43.709.929.868.504;10.442.552.612.633;D55F22000750001;6139213;NULL;6139213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D55F22000760001;;1. comunale;Comune di PISA (PI);PISA;Pisa;43.708.628.200.000;10.439.564.800.000;D55F22000760001;3259704;NULL;300000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D55F22000770001;;1. comunale;Comune di PISA (PI);PISA;Pisa;43.709.929.868.504;10.442.552.612.633;D55F22000770001;9518104;NULL;9518104;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D55F22000780001;;1. comunale;Comune di PISA (PI);PISA;Pisa;43.708.628.200.000;10.439.564.800.000;D55F22000780001;647501;NULL;200000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D55F22000790001;;1. comunale;Comune di PISA (PI);PISA;Pisa;43.708.628.200.000;10.439.564.800.000;D55F22000790001;2032947;NULL;200000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D55F22000800001;;1. comunale;Comune di PISA (PI);PISA;Pisa;43.709.929.868.504;10.442.552.612.633;D55F22000800001;7838796;NULL;7838796;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D32C22000360006;;1. comunale;Comune di CASTELFIORENTINO (FI);FIRENZE;Castelfiorentino;43.610.116.300.000;10.970.239.800.000;D32C22000360006;425000;NULL;425000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D72C22000600006;;1. comunale;Comune di EMPOLI (FI);FIRENZE;Empoli;43.710.385.237.118;10.807.456.398.103;D72C22000600006;1950000;NULL;1700000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
J61B21007120006;;1. comunale;Comune di MASSA (MS);MASSA-CARRARA;Massa;44.019.691.000.000;10.121.134.000.000;J61B21007120006;5086185;NULL;3822906;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D31B21009070006;;1. comunale;Comune di PESCIA (PT);PISTOIA;Pescia;43.902.276.400.000;10.690.807.600.000;D31B21009070006;2415000;NULL;2415000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D31B21009080006;;1. comunale;Comune di PESCIA (PT);PISTOIA;Pescia;43.902.276.400.000;10.690.807.600.000;D31B21009080006;2999500;NULL;2999500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D32C21001710006;;1. comunale;Comune di PESCIA (PT);PISTOIA;Pescia;43.902.276.400.000;10.690.807.600.000;D32C21001710006;3585050;NULL;3585050;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D61B21008990006;;1. comunale;Comune di SAN MARCELLO PITEGLIO (PT);PISTOIA;San Marcello Piteglio;44.027.650.000.000;10.765.110.000.000;D61B21008990006;1026000;NULL;1026000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
J41B22002500001;;1. comunale;Comune di LIVORNO (LI);LIVORNO;Livorno;43.552.244.600.715;10.308.231.526.934;J41B22002500001;1589270;NULL;1426800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
J41B22002520001;;1. comunale;Comune di LIVORNO (LI);LIVORNO;Livorno;43.552.244.600.715;10.308.231.526.934;J41B22002520001;2770983.2;NULL;2500000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
J91B22000620001;;1. comunale;Comune di VOLTERRA (PI);PISA;Volterra;43.402.942.150.000;10.872.159.335.048;J91B22000620001;2828000;NULL;2828000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
J91B22000630001;;1. comunale;Comune di VOLTERRA (PI);PISA;Volterra;43.402.942.150.000;10.872.159.335.048;J91B22000630001;1138000;NULL;1138000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
J91B22000640001;;1. comunale;Comune di VOLTERRA (PI);PISA;Volterra;43.402.942.150.000;10.872.159.335.048;J91B22000640001;1203600;NULL;1203600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
J91B22000660001;;1. comunale;Comune di VOLTERRA (PI);PISA;Volterra;43.399.208.200.000;10.872.115.500.000;J91B22000660001;1281200;NULL;1281200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C31B21013490001;;1. comunale;Comune di BIBBIENA (AR);AREZZO;Bibbiena;43.699.443.000.000;11.820.736.000.000;C31B21013490001;3925082;NULL;3479082;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C31B21013520001;;1. comunale;Comune di BIBBIENA (AR);AREZZO;Bibbiena;43.699.443.000.000;11.820.736.000.000;C31B21013520001;5509821;NULL;4939221;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C11B21010580001;;1. comunale;Comune di AREZZO (AR);AREZZO;Arezzo;43.461.487.300.000;11.867.141.368.244;C11B21010580001;9718885;NULL;8614885;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D12C22000180006;;1. comunale;Comune di FIRENZE (FI);FIRENZE;Firenze;43.804.410.800.000;11.246.217.800.000;D12C22000180006;4600000;NULL;2942240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D17H22000560003;;1. comunale;Comune di FIRENZE (FI);FIRENZE;Firenze;43.804.410.800.000;11.246.217.800.000;D17H22000560003;5629196;NULL;2033293;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C91B22000960001;;1. comunale;Comune di MASSA MARITTIMA (GR);AREZZO;Massa Marittima;43.043.911.200.000;10.887.604.300.000;C91B22000960001;6471241;NULL;6471241;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B16G21062340001;;2. intercomunale;Comune di FIRENZUOLA (FI);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B17H21006910001;;1. comunale;Comune di MARRADI (FI);FIRENZE;Marradi;44.075.622.194.784;11.612.740.215.298;B17H21006910001;9777;NULL;9777;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B27H21009540001;;1. comunale;Comune di FIRENZUOLA (FI);FIRENZE;Firenzuola;44.118.337.092.744;11.378.049.926.948;B27H21009540001;108000;NULL;108000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I27H21007240001;;1. comunale;Comune di BADIA TEDALDA (AR);AREZZO;Badia Tedalda;43.710.300.186.599;12.182.462.843.337;I27H21007240001;290000;NULL;290000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D53D21011770003;;3. provinciale;PROVINCIA DI MASSA-CARRARA;MASSA-CARRARA;;44.039.395.712.042;10.140.043.441.057;D53D21011770003;1919381.17;NULL;1919381.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D57H21008730003;;3. provinciale;PROVINCIA DI MASSA-CARRARA;MASSA-CARRARA;;44.039.395.712.042;10.140.043.441.057;D57H21008730003;3200046.32;NULL;3200046.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
